Unemployment_Rate : Urban
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Goa, 31-03-2016, M, 3.77, 385066.00, 52.61
Goa, 30-04-2016, M, 7.72, 364737.00, 51.90
Goa, 31-05-2016, M, 16.77, 389268.00, 61.33
Goa, 30-06-2016, M, 17.06, 372820.00, 58.88
Goa, 31-07-2016, M, 5.78, 402131.00, 55.83
Goa, 31-08-2016, M, 9.62, 367999.00, 53.20
Goa, 30-09-2016, M, 14.38, 387591.00, 59.07
Goa, 31-10-2016, M, 13.72, 376867.00, 56.93
Goa, 30-11-2016, M, 4.33, 390275.00, 53.10
Goa, 31-12-2016, M, 8.66, 374879.00, 53.36
Goa, 31-01-2017, M, 14.47, 394927.00, 59.96
Goa, 28-02-2017, M, 14.29, 379169.00, 57.38
Goa, 31-03-2017, M, 4.02, 395910.00, 53.43
Goa, 30-04-2017, M, 5.97, 357148.00, 49.14
Goa, 31-05-2017, M, 10.76, 389529.00, 56.40
Goa, 30-06-2017, M, 10.27, 369906.00, 53.21
Goa, 31-07-2017, M, 3.69, 377929.00, 50.58
Goa, 31-08-2017, M, 6.67, 363334.00, 50.12
Goa, 30-09-2017, M, 8.91, 384558.00, 54.29
Goa, 31-10-2017, M, 8.50, 369146.00, 51.81
Goa, 30-11-2017, M, 2.94, 372843.00, 49.28
Goa, 31-12-2017, M, 3.76, 388384.00, 51.70
Goa, 31-01-2018, M, 2.09, 371876.00, 48.60
Goa, 28-02-2018, M, 6.70, 343854.00, 47.11
Goa, 31-03-2018, M, 2.96, 385827.00, 50.75
Goa, 30-04-2018, M, 5.47, 376333.00, 50.76
Goa, 31-05-2018, M, 2.04, 382705.00, 49.75
Goa, 30-06-2018, M, 3.14, 342062.00, 44.92
Goa, 31-07-2018, M, 3.04, 375138.00, 49.15
Goa, 31-08-2018, M, 7.14, 368007.00, 50.28
Goa, 30-09-2018, M, 3.14, 360515.00, 47.16
Goa, 31-10-2018, M, 7.25, 341669.00, 46.62
Goa, 30-11-2018, M, 2.36, 346251.00, 44.82
Goa, 31-12-2018, M, 7.14, 362257.00, 49.25
Goa, 31-01-2019, M, 9.17, 299715.00, 41.60
Goa, 28-02-2019, M, 7.64, 282213.00, 38.48
Goa, 31-03-2019, M, 8.96, 284460.00, 39.30
Goa, 30-04-2019, M, 10.60, 307932.00, 43.27
Goa, 31-05-2019, M, 2.75, 264855.00, 34.17
Goa, 30-06-2019, M, 13.33, 304015.00, 43.96
Goa, 31-07-2019, M, 12.28, 280367.00, 40.00
Goa, 31-08-2019, M, 4.90, 243277.00, 31.97
Goa, 30-09-2019, M, 3.60, 295698.00, 38.29
Goa, 31-10-2019, M, 12.31, 290264.00, 41.27
Goa, 30-11-2019, M, 25.20, 271612.00, 45.22
Goa, 31-12-2019, M, 16.22, 288154.00, 42.77
Goa, 31-01-2020, M, 10.92, 257814.00, 35.95
Goa, 29-02-2020, M, 4.31, 306396.00, 39.73
Goa, 31-03-2020, M, 4.76, 277093.00, 36.05
Goa, 30-04-2020, M, 11.76, 318957.00, 44.74
Goa, 31-07-2020, M, 17.50, 281739.00, 42.11
Goa, 30-09-2020, M, 21.78, 268763.00, 42.26
Goa, 31-10-2020, M, 6.12, 243180.00, 31.82
Goa, 30-11-2020, M, 16.95, 223135.00, 32.96
Goa, 31-12-2020, M, 10.53, 289057.00, 39.58
Goa, 31-01-2021, M, 20.00, 261504.00, 40.00
Goa, 28-02-2021, M, 20.00, 286879.00, 43.83
Goa, 31-03-2021, M, 15.38, 253117.00, 36.52
Goa, 30-04-2021, M, 31.03, 227829.00, 40.28
Goa, 31-05-2021, M, 22.73, 290852.00, 45.83
Goa, 30-06-2021, M, 16.07, 274080.00, 39.72
Goa, 31-07-2021, M, 19.61, 259653.00, 39.23
Goa, 31-08-2021, M, 12.68, 295427.00, 41.04
Gujarat, 31-01-2016, M, 4.96, 9033286.00, 43.25
Gujarat, 29-02-2016, M, 3.22, 9888544.00, 46.39
Gujarat, 31-03-2016, M, 6.01, 9621719.00, 46.36
Gujarat, 30-04-2016, M, 4.96, 9572466.00, 45.50
Gujarat, 31-05-2016, M, 4.32, 9197478.00, 43.32
Gujarat, 30-06-2016, M, 2.91, 10217624.00, 47.31
Gujarat, 31-07-2016, M, 4.00, 9672666.00, 45.18
Gujarat, 31-08-2016, M, 2.12, 9657796.00, 44.14
Gujarat, 30-09-2016, M, 3.34, 9534840.00, 44.02
Gujarat, 31-10-2016, M, 1.04, 10347711.00, 46.55
Gujarat, 30-11-2016, M, 2.85, 9604969.00, 43.90
Gujarat, 31-12-2016, M, 3.57, 10051273.00, 46.17
Gujarat, 31-01-2017, M, 2.99, 9506381.00, 43.30
Gujarat, 28-02-2017, M, 1.81, 10383705.00, 46.62
Gujarat, 31-03-2017, M, 2.96, 9673912.00, 43.84
Gujarat, 30-04-2017, M, 1.86, 10102886.00, 45.16
Gujarat, 31-05-2017, M, 1.08, 10107649.00, 44.72
Gujarat, 30-06-2017, M, 2.02, 10377611.00, 46.24
Gujarat, 31-07-2017, M, 4.36, 9287775.00, 42.29
Gujarat, 31-08-2017, M, 2.96, 10051933.00, 45.00
Gujarat, 30-09-2017, M, 4.41, 10081060.00, 45.70
Gujarat, 31-10-2017, M, 5.99, 10318611.00, 47.44
Gujarat, 30-11-2017, M, 2.22, 9540726.00, 42.08
Gujarat, 31-12-2017, M, 1.22, 10011867.00, 43.60
Gujarat, 31-01-2018, M, 2.84, 9900750.00, 43.72
Gujarat, 28-02-2018, M, 7.67, 10261105.00, 47.58
Gujarat, 31-03-2018, M, 3.78, 9900222.00, 43.94
Gujarat, 30-04-2018, M, 5.45, 9762952.00, 43.99
Gujarat, 31-05-2018, M, 4.28, 9589434.00, 42.57
Gujarat, 30-06-2018, M, 6.90, 9945586.00, 45.29
Gujarat, 31-07-2018, M, 3.64, 9870603.00, 43.31
Gujarat, 31-08-2018, M, 4.99, 9930988.00, 44.09
Gujarat, 30-09-2018, M, 4.11, 9408128.00, 41.29
Gujarat, 31-10-2018, M, 6.74, 10136183.00, 45.62
Gujarat, 30-11-2018, M, 4.79, 9938084.00, 43.70
Gujarat, 31-12-2018, M, 3.65, 10217226.00, 44.29
Gujarat, 31-01-2019, M, 5.64, 10055662.00, 44.40
Gujarat, 28-02-2019, M, 5.70, 10481290.00, 46.20
Gujarat, 31-03-2019, M, 5.24, 9875303.00, 43.21
Gujarat, 30-04-2019, M, 3.37, 10166824.00, 43.52
Gujarat, 31-05-2019, M, 4.09, 9686560.00, 41.67
Gujarat, 30-06-2019, M, 6.31, 10144964.00, 44.57
Gujarat, 31-07-2019, M, 5.15, 9828020.00, 42.54
Gujarat, 31-08-2019, M, 4.20, 10228160.00, 43.72
Gujarat, 30-09-2019, M, 5.96, 9608852.00, 41.74
Gujarat, 31-10-2019, M, 5.45, 10474218.00, 45.14
Gujarat, 30-11-2019, M, 7.53, 9896124.00, 43.50
Gujarat, 31-12-2019, M, 5.71, 10172814.00, 43.75
Gujarat, 31-01-2020, M, 5.82, 9824501.00, 42.19
Gujarat, 29-02-2020, M, 6.04, 10784753.00, 46.31
Gujarat, 31-03-2020, M, 5.39, 10083026.00, 42.90
Gujarat, 30-04-2020, M, 25.94, 6701284.00, 36.33
Gujarat, 31-05-2020, M, 11.22, 6096155.00, 27.50
Gujarat, 30-06-2020, M, 5.42, 10386630.00, 43.88
Gujarat, 31-07-2020, M, 3.47, 10381028.00, 42.86
Gujarat, 31-08-2020, M, 2.99, 10205453.00, 41.82
Gujarat, 30-09-2020, M, 3.67, 9969698.00, 41.04
Gujarat, 31-10-2020, M, 5.68, 11435921.00, 47.96
Gujarat, 30-11-2020, M, 2.79, 9845883.00, 39.97
Gujarat, 31-12-2020, M, 5.09, 9699852.00, 40.23
Gujarat, 31-01-2021, M, 3.31, 10116645.00, 41.08
Gujarat, 28-02-2021, M, 3.35, 10599802.00, 42.96
Gujarat, 31-03-2021, M, 2.18, 9999748.00, 39.94
Gujarat, 30-04-2021, M, 1.99, 10580660.00, 42.08
Gujarat, 31-05-2021, M, 2.35, 10467889.00, 41.68
Gujarat, 30-06-2021, M, 2.14, 10636113.00, 42.15
Gujarat, 31-07-2021, M, 3.04, 10306416.00, 41.12
Gujarat, 31-08-2021, M, 2.12, 10691403.00, 42.15
Gujarat, 30-09-2021, M, 2.09, 10759659.00, 42.30
Haryana, 31-01-2016, M, 18.37, 2824404.00, 46.41
Haryana, 29-02-2016, M, 15.62, 2876440.00, 45.61
Haryana, 31-03-2016, M, 15.87, 2706342.00, 42.93
Haryana, 30-04-2016, M, 16.11, 2904357.00, 46.08
Haryana, 31-05-2016, M, 16.95, 2856903.00, 45.66
Haryana, 30-06-2016, M, 13.87, 2843202.00, 43.70
Haryana, 31-07-2016, M, 11.19, 2675798.00, 39.79
Haryana, 31-08-2016, M, 9.80, 2937689.00, 42.89
Haryana, 30-09-2016, M, 12.18, 2833165.00, 42.38
Haryana, 31-10-2016, M, 11.83, 2870908.00, 42.66
Haryana, 30-11-2016, M, 11.28, 2708254.00, 39.89
Haryana, 31-12-2016, M, 9.26, 2822659.00, 40.54
Haryana, 31-01-2017, M, 10.58, 2724443.00, 39.60
Haryana, 28-02-2017, M, 7.75, 2881211.00, 40.50
Haryana, 31-03-2017, M, 1.52, 2740393.00, 35.98
Haryana, 30-04-2017, M, 2.22, 2886732.00, 38.08
Haryana, 31-05-2017, M, 5.67, 2771846.00, 37.80
Haryana, 30-06-2017, M, 4.55, 2765416.00, 37.17
Haryana, 31-07-2017, M, 2.99, 2575820.00, 33.97
Haryana, 31-08-2017, M, 3.81, 2867516.00, 38.04
Haryana, 30-09-2017, M, 15.92, 2780022.00, 42.09
Haryana, 31-10-2017, M, 13.30, 2841367.00, 41.60
Haryana, 30-11-2017, M, 10.71, 2674678.00, 37.93
Haryana, 31-12-2017, M, 14.97, 2754191.00, 40.90
Haryana, 31-01-2018, M, 17.53, 2812431.00, 42.95
Haryana, 28-02-2018, M, 12.00, 2809970.00, 40.12
Haryana, 31-03-2018, M, 13.24, 2583067.00, 37.30
Haryana, 30-04-2018, M, 17.03, 2655590.00, 40.00
Haryana, 31-05-2018, M, 21.89, 2608490.00, 41.62
Haryana, 30-06-2018, M, 18.74, 2796464.00, 42.78
Haryana, 31-07-2018, M, 19.15, 2516337.00, 38.59
Haryana, 31-08-2018, M, 19.44, 2646010.00, 40.61
Haryana, 30-09-2018, M, 22.67, 2661870.00, 42.45
Haryana, 31-10-2018, M, 18.74, 2932008.00, 44.38
Haryana, 30-11-2018, M, 22.01, 2420680.00, 38.08
Haryana, 31-12-2018, M, 22.52, 2601601.00, 41.08
Haryana, 31-01-2019, M, 24.45, 2637471.00, 42.60
Haryana, 28-02-2019, M, 21.70, 2819539.00, 43.83
Haryana, 31-03-2019, M, 24.27, 2393577.00, 38.37
Haryana, 30-04-2019, M, 23.85, 2599119.00, 41.33
Haryana, 31-05-2019, M, 24.67, 2693596.00, 43.18
Haryana, 30-06-2019, M, 20.42, 2845190.00, 43.06
Haryana, 31-07-2019, M, 25.45, 2405973.00, 38.77
Haryana, 31-08-2019, M, 24.19, 2523005.00, 39.87
Haryana, 30-09-2019, M, 26.73, 2678057.00, 43.67
Haryana, 31-10-2019, M, 21.04, 2821458.00, 42.58
Haryana, 30-11-2019, M, 27.06, 2404240.00, 39.18
Haryana, 31-12-2019, M, 23.65, 2548833.00, 39.57
Haryana, 31-01-2020, M, 27.24, 2630938.00, 42.75
Haryana, 29-02-2020, M, 23.29, 2752834.00, 42.32
Haryana, 31-03-2020, M, 27.14, 2275407.00, 36.73
Haryana, 30-04-2020, M, 46.89, 1606580.00, 35.48
Haryana, 31-05-2020, M, 38.46, 2013083.00, 38.27
Haryana, 30-06-2020, M, 28.39, 2357651.00, 38.42
Haryana, 31-07-2020, M, 34.05, 2360482.00, 41.65
Haryana, 31-08-2020, M, 36.05, 2519777.00, 45.73
Haryana, 30-09-2020, M, 28.80, 2461725.00, 40.02
Haryana, 31-10-2020, M, 21.09, 2464280.00, 36.05
Haryana, 30-11-2020, M, 38.12, 2362602.00, 43.96
Haryana, 31-12-2020, M, 37.82, 2448109.00, 45.21
Haryana, 31-01-2021, M, 27.96, 2561204.00, 40.72
Haryana, 28-02-2021, M, 19.55, 2535406.00, 36.00
Haryana, 31-03-2021, M, 37.27, 2420509.00, 43.96
Haryana, 30-04-2021, M, 41.52, 2425486.00, 47.13
Haryana, 31-05-2021, M, 41.39, 2095161.00, 40.51
Haryana, 30-06-2021, M, 24.35, 2467316.00, 36.87
Haryana, 31-07-2021, M, 38.40, 2438210.00, 44.62
Haryana, 31-08-2021, M, 39.21, 2479066.00, 45.85
Haryana, 30-09-2021, M, 29.35, 2641901.00, 41.93
Himachal Pradesh, 31-01-2016, M, 2.30, 251798.00, 44.74
Himachal Pradesh, 29-02-2016, M, 1.27, 249950.00, 43.89
Himachal Pradesh, 31-03-2016, M, 2.66, 234899.00, 41.78
Himachal Pradesh, 30-04-2016, M, 12.03, 217295.00, 42.70
Himachal Pradesh, 31-05-2016, M, 1.87, 247231.00, 43.50
Himachal Pradesh, 30-06-2016, M, 3.51, 242901.00, 43.40
Himachal Pradesh, 31-07-2016, M, 14.63, 235293.00, 47.45
Himachal Pradesh, 31-08-2016, M, 8.20, 218610.00, 40.94
Himachal Pradesh, 30-09-2016, M, 1.35, 268542.00, 46.74
Himachal Pradesh, 31-10-2016, M, 3.51, 253934.00, 45.12
Himachal Pradesh, 30-11-2016, M, 3.51, 235630.00, 41.81
Himachal Pradesh, 31-12-2016, M, 4.88, 231586.00, 41.62
Himachal Pradesh, 31-01-2017, M, 1.90, 262306.00, 45.65
Himachal Pradesh, 28-02-2017, M, 5.42, 241673.00, 43.57
Himachal Pradesh, 31-03-2017, M, 8.62, 238830.00, 44.50
Himachal Pradesh, 30-04-2017, M, 4.71, 229026.00, 40.87
Himachal Pradesh, 31-05-2017, M, 1.10, 265027.00, 45.50
Himachal Pradesh, 30-06-2017, M, 4.12, 250993.00, 44.39
Himachal Pradesh, 31-07-2017, M, 5.41, 240918.00, 43.12
Himachal Pradesh, 31-08-2017, M, 5.95, 232452.00, 41.79
Himachal Pradesh, 30-09-2017, M, 1.00, 250757.00, 42.77
Himachal Pradesh, 31-10-2017, M, 10.94, 247963.00, 46.94
Himachal Pradesh, 30-11-2017, M, 15.70, 236552.00, 47.25
Himachal Pradesh, 31-12-2017, M, 20.27, 236029.00, 49.78
Himachal Pradesh, 31-01-2018, M, 2.83, 243917.00, 42.15
Himachal Pradesh, 28-02-2018, M, 15.84, 240609.00, 47.94
Himachal Pradesh, 31-03-2018, M, 17.11, 239638.00, 48.41
Himachal Pradesh, 30-04-2018, M, 21.96, 227491.00, 48.75
Himachal Pradesh, 31-05-2018, M, 7.56, 250128.00, 45.18
Himachal Pradesh, 30-06-2018, M, 16.89, 240404.00, 48.24
Himachal Pradesh, 31-07-2018, M, 18.67, 233332.00, 47.77
Himachal Pradesh, 31-08-2018, M, 19.40, 235767.00, 48.64
Himachal Pradesh, 30-09-2018, M, 9.43, 248305.00, 45.52
Himachal Pradesh, 31-10-2018, M, 18.36, 234300.00, 47.59
Himachal Pradesh, 30-11-2018, M, 16.96, 233025.00, 46.46
Himachal Pradesh, 31-12-2018, M, 20.10, 230061.00, 47.61
Himachal Pradesh, 31-01-2019, M, 10.42, 246145.00, 45.37
Himachal Pradesh, 28-02-2019, M, 17.65, 238373.00, 47.73
Himachal Pradesh, 31-03-2019, M, 20.81, 226098.00, 47.02
Himachal Pradesh, 30-04-2019, M, 23.42, 227807.00, 48.92
Himachal Pradesh, 31-05-2019, M, 10.88, 245668.00, 45.27
Himachal Pradesh, 30-06-2019, M, 21.43, 237576.00, 49.58
Himachal Pradesh, 31-07-2019, M, 21.51, 235894.00, 49.22
Himachal Pradesh, 31-08-2019, M, 24.48, 236315.00, 51.17
Himachal Pradesh, 30-09-2019, M, 12.00, 247210.00, 45.87
Himachal Pradesh, 31-10-2019, M, 23.77, 232322.00, 49.69
Himachal Pradesh, 30-11-2019, M, 27.27, 233029.00, 52.17
Himachal Pradesh, 31-12-2019, M, 25.32, 241366.00, 52.55
Himachal Pradesh, 31-01-2020, M, 18.15, 246596.00, 48.92
Himachal Pradesh, 29-02-2020, M, 27.31, 227804.00, 50.82
Himachal Pradesh, 31-03-2020, M, 26.44, 221432.00, 48.74
Himachal Pradesh, 30-04-2020, M, 2.70, 146957.00, 24.42
Himachal Pradesh, 31-05-2020, M, 38.35, 165588.00, 43.37
Himachal Pradesh, 30-06-2020, M, 18.75, 218439.00, 43.35
Himachal Pradesh, 31-07-2020, M, 26.55, 215686.00, 47.28
Himachal Pradesh, 31-08-2020, M, 27.40, 227861.00, 50.46
Himachal Pradesh, 30-09-2020, M, 11.84, 231828.00, 42.22
Himachal Pradesh, 31-10-2020, M, 13.81, 210605.00, 39.18
Himachal Pradesh, 30-11-2020, M, 18.18, 208708.00, 40.84
Himachal Pradesh, 31-12-2020, M, 14.67, 221162.00, 41.44
Himachal Pradesh, 31-01-2021, M, 12.61, 228413.00, 41.73
Himachal Pradesh, 28-02-2021, M, 16.22, 208612.00, 39.70
Himachal Pradesh, 31-03-2021, M, 17.24, 221211.00, 42.56
Himachal Pradesh, 30-04-2021, M, 15.32, 210318.00, 39.49
Himachal Pradesh, 31-05-2021, M, 15.74, 199710.00, 37.63
Himachal Pradesh, 30-06-2021, M, 14.18, 201483.00, 37.22
Himachal Pradesh, 31-07-2021, M, 17.86, 218695.00, 42.15
Himachal Pradesh, 31-08-2021, M, 1.27, 228417.00, 36.57
Himachal Pradesh, 30-09-2021, M, 14.12, 217827.00, 40.05
Jammu & Kashmir, 31-01-2016, M, 14.37, 921006.00, 37.53
Jammu & Kashmir, 29-02-2016, M, 16.26, 898201.00, 37.34
Jammu & Kashmir, 31-03-2016, M, 18.93, 980373.00, 42.00
Jammu & Kashmir, 30-04-2016, M, 20.84, 1100262.00, 48.17
Jammu & Kashmir, 31-05-2016, M, 20.35, 964061.00, 41.85
Jammu & Kashmir, 30-06-2016, M, 21.05, 874612.00, 38.22
Jammu & Kashmir, 31-07-2016, M, 21.30, 890152.00, 38.93
Jammu & Kashmir, 31-08-2016, M, 21.64, 1108979.00, 48.60
Jammu & Kashmir, 30-09-2016, M, 21.85, 992513.00, 43.51
Jammu & Kashmir, 31-10-2016, M, 28.22, 662094.00, 31.53
Jammu & Kashmir, 30-11-2016, M, 18.35, 1023423.00, 42.75
Jammu & Kashmir, 31-12-2016, M, 17.37, 1142352.00, 47.04
Jammu & Kashmir, 31-01-2017, M, 12.99, 985272.00, 38.44
Jammu & Kashmir, 28-02-2017, M, 15.53, 884147.00, 35.46
Jammu & Kashmir, 31-03-2017, M, 4.49, 1136374.00, 40.21
Jammu & Kashmir, 30-04-2017, M, 10.27, 1094442.00, 41.13
Jammu & Kashmir, 31-05-2017, M, 10.98, 876827.00, 33.13
Jammu & Kashmir, 30-06-2017, M, 17.63, 1136118.00, 46.29
Jammu & Kashmir, 31-07-2017, M, 6.96, 847637.00, 30.50
Jammu & Kashmir, 31-08-2017, M, 9.92, 1038497.00, 38.51
Jammu & Kashmir, 30-09-2017, M, 10.66, 1157273.00, 43.17
Jammu & Kashmir, 31-10-2017, M, 16.42, 1141011.00, 45.39
Jammu & Kashmir, 30-11-2017, M, 13.10, 1099461.00, 41.98
Jammu & Kashmir, 31-12-2017, M, 16.91, 1037355.00, 41.32
Jammu & Kashmir, 31-01-2018, M, 15.90, 1148068.00, 45.08
Jammu & Kashmir, 28-02-2018, M, 13.60, 1163487.00, 44.37
Jammu & Kashmir, 31-03-2018, M, 13.19, 1115727.00, 42.25
Jammu & Kashmir, 30-04-2018, M, 12.22, 1008295.00, 37.67
Jammu & Kashmir, 31-05-2018, M, 13.22, 1125689.00, 42.45
Jammu & Kashmir, 30-06-2018, M, 16.50, 1115466.00, 43.61
Jammu & Kashmir, 31-07-2018, M, 13.43, 1111453.00, 41.82
Jammu & Kashmir, 31-08-2018, M, 10.47, 1003571.00, 36.42
Jammu & Kashmir, 30-09-2018, M, 13.62, 1172535.00, 44.01
Jammu & Kashmir, 31-10-2018, M, 17.65, 1107031.00, 43.48
Jammu & Kashmir, 30-11-2018, M, 12.34, 1120144.00, 41.23
Jammu & Kashmir, 31-12-2018, M, 11.34, 971968.00, 35.29
Jammu & Kashmir, 31-01-2019, M, 22.01, 1142674.00, 47.06
Jammu & Kashmir, 28-02-2019, M, 19.03, 1116415.00, 44.19
Jammu & Kashmir, 31-03-2019, M, 18.23, 1129049.00, 44.15
Jammu & Kashmir, 30-04-2019, M, 15.28, 1066003.00, 40.14
Jammu & Kashmir, 31-05-2019, M, 23.04, 1130139.00, 46.74
Jammu & Kashmir, 30-06-2019, M, 19.88, 1139814.00, 45.17
Jammu & Kashmir, 31-07-2019, M, 21.55, 1183770.00, 47.80
Jammu & Kashmir, 30-09-2019, M, 19.23, 1120679.00, 43.75
Jammu & Kashmir, 31-10-2019, M, 24.06, 1029087.00, 42.63
Jammu & Kashmir, 30-11-2019, M, 14.29, 1226793.00, 44.92
Jammu & Kashmir, 31-12-2019, M, 7.02, 1209085.00, 40.71
Jammu & Kashmir, 31-01-2020, M, 18.54, 1079537.00, 41.40
Jammu & Kashmir, 29-02-2020, M, 19.86, 1060116.00, 41.23
Jammu & Kashmir, 31-03-2020, M, 14.29, 998103.00, 36.21
Jammu & Kashmir, 31-05-2020, M, 12.96, 937435.00, 33.33
Jammu & Kashmir, 31-07-2020, M, 7.89, 1103109.00, 36.89
Jammu & Kashmir, 31-08-2020, M, 13.84, 1031944.00, 36.81
Jammu & Kashmir, 30-09-2020, M, 14.93, 934200.00, 33.67
Jammu & Kashmir, 31-10-2020, M, 9.43, 1002715.00, 33.87
Jammu & Kashmir, 30-11-2020, M, 12.88, 1043857.00, 36.57
Jammu & Kashmir, 31-12-2020, M, 24.80, 801755.00, 32.46
Jammu & Kashmir, 31-01-2021, M, 25.00, 1058284.00, 42.86
Jammu & Kashmir, 28-02-2021, M, 15.69, 1058803.00, 38.06
Jammu & Kashmir, 31-03-2021, M, 10.00, 896583.00, 30.12
Jammu & Kashmir, 30-04-2021, M, 14.17, 877759.00, 30.85
Jammu & Kashmir, 31-05-2021, M, 17.39, 1127427.00, 41.07
Jammu & Kashmir, 30-06-2021, M, 18.23, 1009474.00, 37.07
Jammu & Kashmir, 31-07-2021, M, 16.26, 1088207.00, 38.92
Jammu & Kashmir, 31-08-2021, M, 18.83, 864414.00, 31.82
Jammu & Kashmir, 30-09-2021, M, 21.69, 1020418.00, 38.85
Jharkhand, 31-01-2016, M, 13.15, 2305618.00, 42.69
Jharkhand, 29-02-2016, M, 14.83, 2328845.00, 43.89
Jharkhand, 31-03-2016, M, 15.31, 2336454.00, 44.20
Jharkhand, 30-04-2016, M, 15.51, 2389270.00, 45.22
Jharkhand, 31-05-2016, M, 11.78, 2354735.00, 42.60
Jharkhand, 30-06-2016, M, 21.38, 2328301.00, 47.17
Jharkhand, 31-07-2016, M, 17.30, 2267750.00, 43.59
Jharkhand, 31-08-2016, M, 14.97, 2333438.00, 43.54
Jharkhand, 30-09-2016, M, 11.95, 2522837.00, 45.37
Jharkhand, 31-10-2016, M, 4.86, 2449454.00, 40.69
Jharkhand, 30-11-2016, M, 11.73, 2401198.00, 42.92
Jharkhand, 31-12-2016, M, 5.44, 2327091.00, 38.75
Jharkhand, 31-01-2017, M, 4.04, 2460488.00, 40.29
Jharkhand, 28-02-2017, M, 4.82, 2328554.00, 38.38
Jharkhand, 31-03-2017, M, 6.35, 2366459.00, 39.56
Jharkhand, 30-04-2017, M, 5.37, 2335814.00, 38.57
Jharkhand, 31-05-2017, M, 4.26, 2443181.00, 39.80
Jharkhand, 30-06-2017, M, 6.34, 2373263.00, 39.45
Jharkhand, 31-07-2017, M, 4.56, 2340664.00, 38.10
Jharkhand, 31-08-2017, M, 9.24, 2338726.00, 39.95
Jharkhand, 30-09-2017, M, 9.39, 2484256.00, 42.43
Jharkhand, 31-10-2017, M, 10.83, 2408189.00, 41.71
Jharkhand, 30-11-2017, M, 10.80, 2354364.00, 40.69
Jharkhand, 31-12-2017, M, 14.36, 2364630.00, 42.48
Jharkhand, 31-01-2018, M, 11.14, 2362278.00, 40.82
Jharkhand, 28-02-2018, M, 9.74, 2485031.00, 42.20
Jharkhand, 31-03-2018, M, 12.44, 2304608.00, 40.27
Jharkhand, 30-04-2018, M, 15.72, 2348911.00, 42.56
Jharkhand, 31-05-2018, M, 15.15, 2404836.00, 43.19
Jharkhand, 30-06-2018, M, 8.13, 2409684.00, 39.90
Jharkhand, 31-07-2018, M, 14.57, 2356203.00, 41.87
Jharkhand, 31-08-2018, M, 14.12, 2362145.00, 41.67
Jharkhand, 30-09-2018, M, 15.51, 2393589.00, 42.84
Jharkhand, 31-10-2018, M, 9.19, 2467125.00, 41.01
Jharkhand, 30-11-2018, M, 15.57, 2324988.00, 41.48
Jharkhand, 31-12-2018, M, 16.46, 2348146.00, 42.26
Jharkhand, 31-01-2019, M, 16.41, 2436142.00, 43.73
Jharkhand, 28-02-2019, M, 10.90, 2509667.00, 42.19
Jharkhand, 31-03-2019, M, 18.27, 2309071.00, 42.24
Jharkhand, 30-04-2019, M, 16.59, 2350636.00, 42.05
Jharkhand, 31-05-2019, M, 17.23, 2404034.00, 43.25
Jharkhand, 30-06-2019, M, 20.51, 2326912.00, 43.51
Jharkhand, 31-07-2019, M, 15.67, 2434580.00, 42.82
Jharkhand, 31-08-2019, M, 20.25, 2335407.00, 43.35
Jharkhand, 30-09-2019, M, 21.10, 2357296.00, 44.15
Jharkhand, 31-10-2019, M, 19.05, 2460197.00, 44.82
Jharkhand, 30-11-2019, M, 17.34, 2424283.00, 43.17
Jharkhand, 31-12-2019, M, 22.01, 2290170.00, 43.14
Jharkhand, 31-01-2020, M, 22.96, 2329293.00, 44.33
Jharkhand, 29-02-2020, M, 19.67, 2493023.00, 45.42
Jharkhand, 31-03-2020, M, 16.40, 2480661.00, 43.34
Jharkhand, 30-04-2020, M, 61.48, 1054829.00, 39.92
Jharkhand, 31-05-2020, M, 70.17, 830347.00, 40.49
Jharkhand, 30-06-2020, M, 19.25, 2247608.00, 40.42
Jharkhand, 31-07-2020, M, 5.64, 2614441.00, 40.16
Jharkhand, 31-08-2020, M, 19.11, 2238173.00, 40.02
Jharkhand, 30-09-2020, M, 13.84, 2340012.00, 39.21
Jharkhand, 31-10-2020, M, 13.41, 2302392.00, 38.31
Jharkhand, 30-11-2020, M, 13.46, 2373300.00, 39.44
Jharkhand, 31-12-2020, M, 19.67, 2293273.00, 40.97
Jharkhand, 31-01-2021, M, 19.22, 2371666.00, 42.05
Jharkhand, 28-02-2021, M, 16.57, 2276550.00, 39.01
Jharkhand, 31-03-2021, M, 12.70, 2428331.00, 39.69
Jharkhand, 30-04-2021, M, 23.25, 2264236.00, 42.01
Jharkhand, 31-05-2021, M, 26.91, 2131480.00, 41.45
Jharkhand, 30-06-2021, M, 21.92, 2268457.00, 41.22
Jharkhand, 31-07-2021, M, 12.18, 2518844.00, 40.61
Jharkhand, 31-08-2021, M, 18.56, 2374302.00, 41.20
Jharkhand, 30-09-2021, M, 17.81, 2368790.00, 40.65
Karnataka, 31-01-2016, M, 9.58, 8504030.00, 45.78
Karnataka, 29-02-2016, M, 6.02, 8064132.00, 41.66
Karnataka, 31-03-2016, M, 4.61, 8074999.00, 41.00
Karnataka, 30-04-2016, M, 8.61, 7982108.00, 42.19
Karnataka, 31-05-2016, M, 16.03, 8650091.00, 49.63
Karnataka, 30-06-2016, M, 3.86, 8410042.00, 42.04
Karnataka, 31-07-2016, M, 4.24, 8484734.00, 42.47
